GNB1	1456	2647
RPL22	1067	1807
ENO1	12551	4062
PGD	1873	1461
DDOST	1345	1082
CDC42	2163	2291
KDM1A	1512	2023
RPL11	2648	4839
CLIC4	2971	1674
STMN1	2089	5607
SNHG3	3948	1005
MARCKSL1	1316	2936
RBBP4	1151	1722
SFPQ	2365	1396
THRAP3	1010	1082
CAP1	2068	1288
YBX1	3859	4079
SLC2A1	1148	1090
RPS8	5163	6746
PRDX1	4918	1097
DHCR24	7356	1641
SERBP1	2956	2214
FUBP1	1020	1649
RPL5	5206	7655
CNN3	2261	4230
SCARNA2	1042	1772
CAPZA1	1006	1088
NRAS	1193	1273
CSDE1	3834	4978
HIST2H2BF	1229	1209
HIST2H2BE	1219	2183
MCL1	1804	2040
ILF2	3061	2186
RPS27	4068	5694
TPM3	3808	1422
ADAR	2496	2273
SSR2	1164	1486
CCT3	4168	2203
NES	1968	6857
HDGF	2353	1786
COPA	1688	2134
PBX1	1324	2527
MPZL1	1295	1521
PRDX6	3936	2121
GAS5	1228	1353
GLUL	2539	3536
DHX9	3528	2345
IVNS1ABP	1779	1470
TROVE2	1018	2484
KDM5B	2377	2796
NUCKS1	4400	5085
EPRS	2176	2071
LBR	1391	1116
ENAH	2646	3064
SRP9	2144	2803
H3F3A	1120	1810
PARP1	2610	2236
ARF1	1603	2221
NUP133	1170	1168
TOMM20	1890	3292
HNRNPU	2888	2910
RPS7	4203	4532
YWHAQ	3483	4043
PDIA6	1761	1221
PPP1CB	1146	1298
BIRC6	1320	1458
LRPPRC	1760	1247
CALM2	2385	4099
MSH6	2127	1156
SPTBN1	1498	2367
RTN4	1658	4416
RPS27A	4219	3473
XPO1	3002	2065
CCT4	2648	1741
CCT7	2333	1861
TMSB10	2538	4838
STARD7	2133	1097
SNRNP200	1100	1408
RPL31	2668	3966
RANBP2	1460	1234
ACTR3	1489	1422
PRPF40A	1126	1065
NCKAP1	1889	1663
SLC39A10	2794	1501
SF3B1	2472	2679
HSPD1	5942	2281
BZW1	1453	1032
EEF1B2	2565	1145
IDH1	3635	2493
XRCC5	5803	3913
RPL37A	3856	5696
NCL	2593	1949
PTMA	7934	4099
KIF1A	1959	3486
